,Compound,Date,Media Outlet,Negative,Neutral,Positive,Tweets Ago
86,0.0,Tue Aug 28 12:48:59 +0000 2018,@BBC,1.0,0.0,0.0,87
87,0.4767,Tue Aug 28 12:00:18 +0000 2018,@BBC,0.728,0.0,0.272,88
88,0.8316,Tue Aug 28 11:33:00 +0000 2018,@BBC,0.63,0.0,0.37,89
89,-0.296,Tue Aug 28 11:01:01 +0000 2018,@BBC,0.896,0.104,0.0,90
90,0.4215,Tue Aug 28 08:00:16 +0000 2018,@BBC,0.823,0.0,0.177,91
91,0.0,Tue Aug 28 07:26:06 +0000 2018,@BBC,1.0,0.0,0.0,92
92,0.128,Tue Aug 28 07:00:13 +0000 2018,@BBC,0.821,0.077,0.103,93
93,0.624,Mon Aug 27 20:01:03 +0000 2018,@BBC,0.806,0.0,0.194,94
94,0.0772,Mon Aug 27 19:36:00 +0000 2018,@BBC,0.936,0.0,0.064,95
95,0.5859,Mon Aug 27 19:03:04 +0000 2018,@BBC,0.752,0.062,0.186,96
96,-0.4939,Mon Aug 27 18:12:05 +0000 2018,@BBC,0.862,0.138,0.0,97
97,0.0,Mon Aug 27 17:05:04 +0000 2018,@BBC,1.0,0.0,0.0,98
98,0.0772,Mon Aug 27 16:03:04 +0000 2018,@BBC,0.944,0.0,0.056,99
99,0.0,Mon Aug 27 14:08:03 +0000 2018,@BBC,1.0,0.0,0.0,100
0,0.0,Mon Aug 27 23:36:57 +0000 2018,@CBS,1.0,0.0,0.0,1
1,-0.4389,Fri Aug 24 20:30:16 +0000 2018,@CBS,0.879,0.121,0.0,2
2,0.0,Wed Aug 22 20:55:25 +0000 2018,@CBS,1.0,0.0,0.0,3
3,0.0,Wed Aug 22 20:10:12 +0000 2018,@CBS,1.0,0.0,0.0,4
4,0.5423,Mon Aug 20 21:59:56 +0000 2018,@CBS,0.829,0.0,0.171,5
5,0.3182,Fri Aug 17 17:42:02 +0000 2018,@CBS,0.887,0.0,0.113,6
6,0.0,Thu Aug 16 18:40:09 +0000 2018,@CBS,1.0,0.0,0.0,7
7,-0.5267,Thu Aug 16 00:09:03 +0000 2018,@CBS,0.72,0.188,0.092,8
8,0.0,Sun Aug 12 23:30:02 +0000 2018,@CBS,1.0,0.0,0.0,9
9,0.4389,Sun Aug 12 15:04:59 +0000 2018,@CBS,0.874,0.0,0.126,10
10,-0.3182,Sat Aug 11 18:00:00 +0000 2018,@CBS,0.897,0.103,0.0,11
11,0.4926,Sat Aug 11 15:00:02 +0000 2018,@CBS,0.856,0.0,0.144,12
12,0.8957,Fri Aug 10 22:28:55 +0000 2018,@CBS,0.581,0.0,0.419,13
