,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
95,0.0,Wed Aug 22 12:15:45 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @BBC6Music: Which tunes would you add to this list? #AllDayRave  https://t.co/1izIOoaqod
96,-0.4019,Wed Aug 22 12:02:05 +0000 2018,0.828,0.172,0.0,1,@BBC,Inside Shanghai’s marriage market where parents set their children up on blind dates. https://t.co/CHpIBNc16h
97,0.0,Wed Aug 22 11:30:59 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @bbcpress: ""By order of the #PeakyBlinders."" @ThePeakyBlinder moves to @BBCOne: https://t.co/VUCZAOjIX1 #EdTVFest https://t.co/fEA0Rv7ihh"
98,-0.0382,Wed Aug 22 11:01:06 +0000 2018,0.943,0.057,0.0,1,@BBC,More than a third of farmed fruit and vegetables never reaches supermarket shelves because it is misshapen or the w… https://t.co/10Bqhnzz8j
99,0.0,Wed Aug 22 10:53:23 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @BBCTheOneShow: That time Sir @LennyHenry bumped into the Queen of Soul in an airport! 🌹 https://t.co/QDXsgrA2nX
100,0.0,Mon Aug 27 23:36:57 +0000 2018,1.0,0.0,0.0,2,@CBS,"It's almost time for sweater weather, pumpkin spice lattes, and CBS Fall TV premieres. Check out the storylines for… https://t.co/BpgDyYl8fc"
101,-0.4389,Fri Aug 24 20:30:16 +0000 2018,0.879,0.121,0.0,2,@CBS,RT @cbsallaccess: #NFL preseason coverage is here! 🏈 The Detroit @Lions battle the Tampa Bay @Buccaneers tonight at 8PM ET. Stream the game…
102,0.0,Wed Aug 22 20:55:25 +0000 2018,1.0,0.0,0.0,2,@CBS,"@bigbangtheory 🎶...happy kitty, sleepy kitty, purr purr purr🎶 #TheBigBangTheory https://t.co/sEObppGJlZ"
103,0.0,Wed Aug 22 20:10:12 +0000 2018,1.0,0.0,0.0,2,@CBS,"This is going to require multiple singings of ""Soft Kitty."" https://t.co/UdRGNeQ7Lb"
104,0.5423,Mon Aug 20 21:59:56 +0000 2018,0.829,0.0,0.171,2,@CBS,Got to get more of the @PaulMcCartney #CarpoolKaraoke into your life? @latelateshow produced an hour-long bonus spe… https://t.co/DjPqajo6Xn
105,0.3182,Fri Aug 17 17:42:02 +0000 2018,0.887,0.0,0.113,2,@CBS,"How much does it cost to bury the truth? 
#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/ZL5TBH9ro5"
106,0.0,Thu Aug 16 18:40:09 +0000 2018,1.0,0.0,0.0,2,@CBS,Things got carried away when @ArianaGrande joined @latelateshow for #CarpoolKaraoke. So did Ariana. #ArianaCarpool https://t.co/WSZcC0TaYz
107,-0.5267,Thu Aug 16 00:09:03 +0000 2018,0.72,0.188,0.092,2,@CBS,RT @cbsallaccess: Murder mystery set in a small town? We're in. Rediscover the genius of original #TwinPeaks co-creators @DAVID_LYNCH and @…
108,0.0,Sun Aug 12 23:30:02 +0000 2018,1.0,0.0,0.0,2,@CBS,New start times for @60Minutes 7:20ET/6:20CT @CBSBigBrother 8:20ET/7:20CT @NCISLA 9:20ET/8:20CT @Elementary_CBS 10:… https://t.co/Op9VcDsREa
109,0.4389,Sun Aug 12 15:04:59 +0000 2018,0.874,0.0,0.126,2,@CBS,Clear your schedules for the 100th #PGAChamp! Stream the Final Round LIVE on @cbsallaccess at 2 PM ET across all de… https://t.co/m6bH2pKTUN
110,-0.3182,Sat Aug 11 18:00:00 +0000 2018,0.897,0.103,0.0,2,@CBS,The fortune teller you’ll meet this Saturday lived a life of luxury... by scamming her victims out of hundreds of t… https://t.co/fJo6F2Eo5p
111,0.4926,Sat Aug 11 15:00:02 +0000 2018,0.856,0.0,0.144,2,@CBS,The 100th PGA Championship continues today! Stream it LIVE on @cbsallaccess at 2PM ET across all devices. Try 1 Wee… https://t.co/jbMg06eOND
112,0.8957,Fri Aug 10 22:28:55 +0000 2018,0.581,0.0,0.419,2,@CBS,"To celebrate the 100th PGA Championship, relive some of the tournament's greatest moments with Luke Wilson. 

Don't… https://t.co/wUuB93smr4"
113,0.0,Fri Aug 10 19:59:14 +0000 2018,1.0,0.0,0.0,2,@CBS,"RT @TrueCrimeCBS: When Glenn Walp and Steve Doran uncovered theft at the Los Alamos National Laboratory, they HAD to blow their whistles. W…"
114,0.6696,Thu Aug 09 21:00:00 +0000 2018,0.745,0.0,0.255,2,@CBS,Want to create your own @CBSBigBrother or @TKOCBS meme using one the photos here? It’s your lucky day! Head over to… https://t.co/JHJWykNkQT
115,0.7901,Thu Aug 09 18:47:00 +0000 2018,0.72,0.0,0.28,2,@CBS,Time to celebrate! Your favorite Daytime shows will premiere with new seasons this fall. See all of the @CBSDaytime… https://t.co/GNkK4Zf2kD
116,0.6696,Wed Aug 08 16:05:11 +0000 2018,0.791,0.0,0.209,2,@CBS,"Love is in the air, and the water! International smash hit #LoveIsland is coming to CBS. https://t.co/nepabuNoSU https://t.co/Cxgvkv463u"
117,0.0,Tue Aug 07 16:06:57 +0000 2018,1.0,0.0,0.0,2,@CBS,The Executive Producers of @CBSBigBrother are teaming up with @KingJames and @MavCarter for an unprecedented televi… https://t.co/V88bDeHmQs
118,0.3612,Mon Aug 06 00:20:55 +0000 2018,0.889,0.0,0.111,2,@CBS,"RT @cbsallaccess: Executive Producer of Tell Me A Story, @kevwilliamson, says ""What I like about the show, there’s nothing else on TV like…"
119,0.5411,Mon Aug 06 00:07:38 +0000 2018,0.683,0.098,0.219,2,@CBS,RT @TheNeighborhood: Feel the love in this new teaser for #TheNeighborhood from the #CBS #TCA18! 🤗 https://t.co/rPmCozH5XP
120,0.3818,Mon Aug 06 00:02:58 +0000 2018,0.894,0.0,0.106,2,@CBS,RT @TheNeighborhood: Find out why Cedric the Entertainer and the cast think #TheNeighborhood is the kind of show that everyone can relate t…
121,0.5093,Mon Aug 06 00:02:02 +0000 2018,0.845,0.0,0.155,2,@CBS,That's all for our #CBS #TCA18 panels! Tune in this fall to watch all your favorite new shows. 🙌 https://t.co/hM85o9eRi8
122,0.0,Sun Aug 05 23:58:41 +0000 2018,1.0,0.0,0.0,2,@CBS,"RT @MagnumPICBS: ""If there was ever a time to bring back #MagnumPI, it's now."" - @PLenkov 
#CBS #TCA2018"
123,0.8316,Sun Aug 05 23:44:39 +0000 2018,0.694,0.0,0.306,2,@CBS,"RT @MagnumPICBS: ""There are a lot of easter eggs from the original that fans from the original series will love, and they're peppered throu…"
